CURP,NOMBRE,APELLIDO_PATERNO,APELLIDO_MATERNO,TEL_CASA,TEL_CELULAR,CORREO,PROGRAMA,CALLE,NUM_EXT,NUM_INT,COLONIA,CODIGO_POSTAL,MUNICIPIO,ESTADO,SEXO
AAAA910101HJAAAB22,John,Smith,Smith,1122233455,3312445566,ABC@GMAIL.COM,,,,,EL COLI,,ZAPOPAN,JALISCO,HOMBRE
AAAA910101HJAAAB23,Maria,Lopez,Perez,2153532153,,CDE@GMAIL.COM,,,,,,,ZAPOPAN,JALISCO,MUJER
AAAA910101HJAAAB24,Juan,Perez,Perez,2131253215,,FGH@GMAIL.COM,ZAP ACADEMY,,,,,,ZAPOPAN,JALISCO,
AAAA910101HJAAAB25,Rosa ,Flores,Diaz,5315325415,,IJK@GMAIL.COM,,,12,,,,ZAPOPAN,JALISCO,
AAAA910101HJAAAB26,Alma ,Zamora,Sanchez,5315435135,,LMN@GMAIL.COM,,,,,,,ZAPOPAN,JALISCO,
AAAA910101HJAAAB27,David,Gomez,Diaz,5435436768,,OPQ@GMAIL.COM,,SANTA ESTER,,,,,ZAPOPAN,JALISCO,
AAAA910101HJAAAB28,Sofia,Aguirre,Aguirre,8765968875,,RST@GMAIL.COM,,,,,,45222,ZAPOPAN,JALISCO,
AAAA910101HJAAAB29,Rosa ,Smith,Perez,7654765476,,UVW@GMAIL.COM,,,43,,,,ZAPOPAN,JALISCO,
AAAA910101HJAAAB30,Alma ,Lopez,Perez,4351343624,,XYZ@GMAIL.COM,,,,11,,,ZAPOPAN,JALISCO,
AAAA910101HJAAAB31,David,Perez,Diaz,5436246626,,AAB@GMAIL.COM,,,,,,45331,ZAPOPAN,JALISCO,
AAAA910101HJAAAB32,Sofia,Flores,Sanchez,1351453435,,AAC@GMAIL.COM,,,,,,,,,
